OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2022-158H","OBJECT H","54368","TBD","94.24","97.45","510","454","","0","2022-11-26",""
"2022-158G","OBJECT G","54367","TBD","94.74","97.39","519","494","","0","2022-11-26",""
"2022-158F","OBJECT F","54366","TBD","94.75","97.46","515","498","","0","2022-11-26",""
"2022-158E","OBJECT E","54365","TBD","94.81","97.43","524","495","","0","2022-11-26",""
"2022-158D","OBJECT D","54364","TBD","94.80","97.44","516","502","","0","2022-11-26",""
"2022-158C","OBJECT C","54363","TBD","94.83","97.42","521","499","","0","2022-11-26",""
"2022-158B","OBJECT B","54362","TBD","94.95","97.46","531","501","","0","2022-11-26",""
"2022-158A","OBJECT A","54361","IND","99.60","98.35","747","732","","0","2022-11-26",""
"2022-151DF","CZ-6A DEB","54360","PRC","101.73","98.65","909","773","","0","2022-11-11",""
"2022-151DE","CZ-6A DEB","54359","PRC","99.99","99.08","909","606","","0","2022-11-11",""
"2022-151DD","CZ-6A DEB","54358","PRC","99.32","98.55","839","613","SMALL","0","2022-11-11",""
"2022-151DC","CZ-6A DEB","54357","PRC","96.39","99.16","807","364","","0","2022-11-11",""
"2022-151DB","CZ-6A DEB","54356","PRC","101.20","98.96","873","757","SMALL","0","2022-11-11",""
"2022-151DA","CZ-6A DEB","54355","PRC","96.89","98.80","818","401","","0","2022-11-11",""
"2022-151CZ","CZ-6A DEB","54354","PRC","100.25","98.81","906","634","SMALL","0","2022-11-11",""
"2022-151CY","CZ-6A DEB","54353","PRC","100.43","99.14","907","651","","0","2022-11-11",""
"2022-151CX","CZ-6A DEB","54352","PRC","99.93","99.10","899","611","SMALL","0","2022-11-11",""
"2022-151CW","CZ-6A DEB","54351","PRC","103.27","99.02","1061","766","SMALL","0","2022-11-11",""
"2022-151CV","CZ-6A DEB","54350","PRC","100.50","98.82","832","733","SMALL","0","2022-11-11",""
"2022-151CU","CZ-6A DEB","54349","PRC","101.04","98.71","889","727","SMALL","0","2022-11-11",""
"2022-151CT","CZ-6A DEB","54348","PRC","100.64","98.69","866","712","SMALL","0","2022-11-11",""
"2022-151CS","CZ-6A DEB","54347","PRC","100.90","98.71","878","724","SMALL","0","2022-11-11",""
"2022-151CR","CZ-6A DEB","54346","PRC","99.45","98.65","842","623","SMALL","0","2022-11-11",""
"2022-151CQ","CZ-6A DEB","54345","PRC","101.34","98.71","879","766","SMALL","0","2022-11-11",""
"2022-151CP","CZ-6A DEB","54344","PRC","102.37","98.82","913","829","SMALL","0","2022-11-11",""
"2022-151CN","CZ-6A DEB","54343","PRC","102.15","98.81","892","829","SMALL","0","2022-11-11",""
