OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2023-060B","OBJECT B","56371","US","1374.50","0.06","34612","34532","","0","2023-05-01",""
"2023-060A","OBJECT A","56370","US","1376.29","0.07","34646","34569","","0","2023-05-01",""
"2023-059C","OBJECT C","56369","TBD","198.16","8.60","6998","2763","","0","2023-04-28",""
"2023-059B","OBJECT B","56368","TBD","198.24","8.60","7001","2767","","0","2023-04-28",""
"2023-059A","OBJECT A","56367","TBD","198.27","8.60","7000","2770","","0","2023-04-28",""
"2023-058BB","FALCON 9 DEB","56366","US","90.80","97.67","340","287","","0","2023-04-27",""
"2023-058BA","FALCON 9 DEB","56365","US","90.81","97.67","342","287","","0","2023-04-27",""
"2023-058AZ","FALCON 9 DEB","56364","US","90.88","97.67","342","293","","0","2023-04-27",""
"2023-058AY","FALCON 9 DEB","56363","US","90.90","97.67","344","293","","0","2023-04-27",""
"2023-058AX","STARLINK-5972","56362","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AW","STARLINK-5550","56361","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AV","STARLINK-5549","56360","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AU","STARLINK-5551","56359","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AT","STARLINK-5482","56358","US","91.48","97.66","350","345","","0","2023-04-27",""
"2023-058AS","STARLINK-5538","56357","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AR","STARLINK-5535","56356","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AQ","STARLINK-5533","56355","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AP","STARLINK-5877","56354","US","91.48","97.66","350","345","","0","2023-04-27",""
"2023-058AN","STARLINK-5874","56353","US","91.48","97.66","349","345","","0","2023-04-27",""
"2023-058AM","STARLINK-5885","56352","US","91.48","97.66","349","345","","0","2023-04-27",""
"2023-058AL","STARLINK-5891","56351","US","91.48","97.66","353","341","","0","2023-04-27",""
"2023-058AK","STARLINK-5886","56350","US","91.48","97.66","354","341","","0","2023-04-27",""
"2023-058AJ","STARLINK-5887","56349","US","91.48","97.66","350","345","","0","2023-04-27",""
"2023-058AH","STARLINK-5888","56348","US","91.49","97.66","353","342","","0","2023-04-27",""
"2023-058AG","STARLINK-5829","56347","US","91.49","97.66","353","342","","0","2023-04-27",""
"2023-058AF","STARLINK-5837","56346","US","91.49","97.66","350","345","","0","2023-04-27",""
"2023-058AE","STARLINK-5979","56345","US","91.49","97.66","354","341","","0","2023-04-27",""
"2023-058AD","STARLINK-5974","56344","US","91.49","97.66","353","342","","0","2023-04-27",""
"2023-058AC","STARLINK-5976","56343","US","91.49","97.66","350","345","","0","2023-04-27",""
"2023-058AB","STARLINK-5955","56342","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058AA","STARLINK-5543","56341","US","91.49","97.66","350","345","","0","2023-04-27",""
"2023-058Z","STARLINK-5540","56340","US","91.49","97.66","354","341","","0","2023-04-27",""
"2023-058Y","STARLINK-5552","56339","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058X","STARLINK-5554","56338","US","91.49","97.66","349","346","","0","2023-04-27",""
"2023-058W","STARLINK-5561","56337","US","91.49","97.66","350","346","","0","2023-04-27",""
"2023-058V","STARLINK-5562","56336","US","91.49","97.66","350","346","","0","2023-04-27",""
"2023-058U","STARLINK-5559","56335","US","91.49","97.66","354","341","","0","2023-04-27",""
"2023-058T","STARLINK-5548","56334","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058S","STARLINK-5553","56333","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058R","STARLINK-5093","56332","US","91.49","97.66","350","346","","0","2023-04-27",""
"2023-058Q","STARLINK-5991","56331","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058P","STARLINK-5967","56330","US","91.50","97.66","354","342","","0","2023-04-27",""
"2023-058N","STARLINK-5984","56329","US","91.49","97.66","354","342","","0","2023-04-27",""
"2023-058M","STARLINK-5992","56328","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058L","STARLINK-5997","56327","US","91.49","97.66","350","346","","0","2023-04-27",""
"2023-058K","STARLINK-5980","56326","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058J","STARLINK-5981","56325","US","91.49","97.66","350","346","","0","2023-04-27",""
"2023-058H","STARLINK-6034","56324","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058G","STARLINK-6035","56323","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058E","STARLINK-6033","56322","US","91.50","97.66","350","347","","0","2023-04-27",""
"2023-058E","STARLINK-5876","56321","US","91.50","97.66","350","345","","0","2023-04-27",""
"2023-058D","STARLINK-5988","56320","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058C","STARLINK-6039","56319","US","91.50","97.66","350","346","","0","2023-04-27",""
"2023-058B","STARLINK-5954","56318","US","91.50","97.66","354","342","","0","2023-04-27",""
"2023-058A","STARLINK-6038","56317","US","91.50","97.66","350","346","","0","2023-04-27",""
"1998-067VH","YUKONSAT","56316","CA","92.80","51.64","417","406","","0","1998-11-20",""
"1998-067VG","NEUDOSE","56315","CA","92.80","51.64","417","407","SMALL","0","1998-11-20",""
"1998-067VF","LIGHTCUBE","56314","US","92.78","51.64","416","406","SMALL","0","1998-11-20",""
"1998-067VE","EX-ALTA-2","56313","CA","92.78","51.64","416","405","SMALL","0","1998-11-20",""
"1998-067VD","AURORASAT","56312","CA","92.78","51.64","416","405","SMALL","0","1998-11-20",""
"1998-067VC","ARKSAT 1","56311","US","92.78","51.64","416","405","SMALL","0","1998-11-20",""
"2023-057C","TELEOS 2","56310","SING","96.36","9.99","588","581","LARGE","0","2023-04-22",""
"2023-057B","OBJECT B","56309","TBD","96.32","9.99","589","576","MEDIUM","0","2023-04-22",""
"2023-057A","OBJECT A","56308","TBD","96.76","9.89","620","587","LARGE","0","2023-04-22",""
"2022-144J","USA 344","56307","US","","","","","","0","2022-11-01","NO INITIAL ELEMENTS"
"2023-056W","STARLINK-30112","56306","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056V","STARLINK-30094","56305","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056U","STARLINK-30099","56304","US","92.81","43.00","413","411","LARGE","0","2023-04-19",""
"2023-056T","STARLINK-30097","56303","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056S","STARLINK-30111","56302","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056R","STARLINK-30101","56301","US","93.05","43.00","425","423","LARGE","0","2023-04-19",""
"2023-056Q","STARLINK-30104","56300","US","93.05","43.00","425","423","MEDIUM","0","2023-04-19",""
"2023-056P","STARLINK-30108","56299","US","91.75","43.00","361","359","LARGE","0","2023-04-19",""
"2023-056N","STARLINK-30109","56298","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056M","STARLINK-30086","56297","US","92.56","43.00","401","399","LARGE","0","2023-04-19",""
"2023-056L","STARLINK-30089","56296","US","91.18","43.00","333","331","LARGE","0","2023-04-19",""
"2023-056K","STARLINK-30083","56295","US","91.27","43.00","338","336","LARGE","0","2023-04-19",""
"2023-056J","STARLINK-30049","56294","US","92.56","43.00","401","399","MEDIUM","0","2023-04-19",""
"2023-056H","STARLINK-30090","56293","US","93.06","43.00","425","423","LARGE","0","2023-04-19",""
"2023-056G","STARLINK-30098","56292","US","93.06","43.00","425","423","LARGE","0","2023-04-19",""
"2023-056F","STARLINK-30113","56291","US","93.06","43.00","425","423","LARGE","0","2023-04-19",""
"2023-056E","STARLINK-30103","56290","US","93.06","43.00","425","424","LARGE","0","2023-04-19",""
"2023-056D","STARLINK-30095","56289","US","91.30","43.00","339","338","LARGE","0","2023-04-19",""
"2023-056C","STARLINK-30106","56288","US","93.06","43.00","425","424","LARGE","0","2023-04-19",""
"2023-056B","STARLINK-30107","56287","US","93.06","43.00","425","424","LARGE","0","2023-04-19",""
"2023-056A","STARLINK-30096","56286","US","90.30","42.99","292","286","LARGE","0","2023-04-19",""
"2022-151ADD","CZ-6A DEB","56285","PRC","100.01","98.69","849","669","SMALL","0","2022-11-11",""
"2022-151ADC","CZ-6A DEB","56284","PRC","100.21","98.59","893","644","SMALL","0","2022-11-11",""
"2022-151ADB","CZ-6A DEB","56283","PRC","100.56","98.63","867","703","SMALL","0","2022-11-11",""
"2022-151ADA","CZ-6A DEB","56282","PRC","102.37","98.86","933","808","SMALL","0","2022-11-11",""
"2022-151ACZ","CZ-6A DEB","56281","PRC","102.42","98.79","919","828","SMALL","0","2022-11-11",""
"2022-151ACY","CZ-6A DEB","56280","PRC","102.96","98.79","972","825","SMALL","0","2022-11-11",""
"2022-151ACX","CZ-6A DEB","56279","PRC","102.57","98.86","932","829","SMALL","0","2022-11-11",""
"2022-151ACW","CZ-6A DEB","56278","PRC","103.33","98.85","1002","830","SMALL","0","2022-11-11",""
"2022-151ACV","CZ-6A DEB","56277","PRC","101.22","98.77","856","777","SMALL","0","2022-11-11",""
"2022-151ACU","CZ-6A DEB","56276","PRC","101.60","98.80","841","827","SMALL","0","2022-11-11",""
"2022-151ACT","CZ-6A DEB","56275","PRC","99.81","98.69","841","658","SMALL","0","2022-11-11",""
"2022-151ACS","CZ-6A DEB","56274","PRC","102.45","98.82","920","829","SMALL","0","2022-11-11",""
"2022-151ACR","CZ-6A DEB","56273","PRC","99.81","98.56","867","631","SMALL","0","2022-11-11",""
"2022-151ACQ","CZ-6A DEB","56272","PRC","101.66","98.80","849","826","SMALL","0","2022-11-11",""
"2022-151ACP","CZ-6A DEB","56271","PRC","100.37","98.59","848","705","SMALL","0","2022-11-11",""
"2022-151ACN","CZ-6A DEB","56270","PRC","100.10","98.69","853","674","SMALL","0","2022-11-11",""
"2022-151ACM","CZ-6A DEB","56269","PRC","102.09","98.82","885","830","SMALL","0","2022-11-11",""
"2022-151ACL","CZ-6A DEB","56268","PRC","97.58","98.59","709","576","SMALL","0","2022-11-11",""
"2022-151ACK","CZ-6A DEB","56267","PRC","99.94","98.70","846","666","SMALL","0","2022-11-11",""
"2022-151ACJ","CZ-6A DEB","56266","PRC","103.38","98.85","1006","830","SMALL","0","2022-11-11",""
"2022-151ACH","CZ-6A DEB","56265","PRC","102.18","98.81","896","827","SMALL","0","2022-11-11",""
"2022-151ACG","CZ-6A DEB","56264","PRC","99.60","98.68","818","662","SMALL","0","2022-11-11",""
"2022-151ACF","CZ-6A DEB","56263","PRC","99.74","98.59","846","647","SMALL","0","2022-11-11",""
"2022-151ACE","CZ-6A DEB","56262","PRC","102.21","98.83","899","828","SMALL","0","2022-11-11",""
"2022-151ACD","CZ-6A DEB","56261","PRC","102.12","98.82","897","821","SMALL","0","2022-11-11",""
"2022-151ACC","CZ-6A DEB","56260","PRC","101.28","98.79","853","785","SMALL","0","2022-11-11",""
"2022-151ACB","CZ-6A DEB","56259","PRC","102.32","98.81","909","828","SMALL","0","2022-11-11",""
"2022-151ACA","CZ-6A DEB","56258","PRC","100.98","98.71","920","690","SMALL","0","2022-11-11",""
"2022-151ABZ","CZ-6A DEB","56257","PRC","102.83","98.78","959","826","SMALL","0","2022-11-11",""
"2022-151ABY","CZ-6A DEB","56256","PRC","99.46","98.69","849","616","SMALL","0","2022-11-11",""
"2022-151ABX","CZ-6A DEB","56255","PRC","103.82","98.85","1058","820","SMALL","0","2022-11-11",""
"2022-151ABW","CZ-6A DEB","56254","PRC","98.80","98.72","809","593","SMALL","0","2022-11-11",""
"2022-151ABV","CZ-6A DEB","56253","PRC","101.96","98.83","877","827","SMALL","0","2022-11-11",""
"2022-151ABU","CZ-6A DEB","56252","PRC","102.73","98.81","949","827","SMALL","0","2022-11-11",""
"2022-151ABT","CZ-6A DEB","56251","PRC","102.39","98.81","918","825","SMALL","0","2022-11-11",""
"2022-151ABS","CZ-6A DEB","56250","PRC","100.42","98.62","855","702","SMALL","0","2022-11-11",""
"2022-151ABR","CZ-6A DEB","56249","PRC","101.51","98.80","867","793","SMALL","0","2022-11-11",""
"2022-151ABQ","CZ-6A DEB","56248","PRC","102.68","98.79","940","831","SMALL","0","2022-11-11",""
"2022-151ABP","CZ-6A DEB","56247","PRC","99.47","98.53","855","611","SMALL","0","2022-11-11",""
"2022-151ABN","CZ-6A DEB","56246","PRC","98.65","98.79","831","558","SMALL","0","2022-11-11",""
"2022-151ABM","CZ-6A DEB","56245","PRC","102.33","98.80","912","826","SMALL","0","2022-11-11",""
"2022-151ABL","CZ-6A DEB","56244","PRC","97.62","98.58","708","581","SMALL","0","2022-11-11",""
"2022-151ABK","CZ-6A DEB","56243","PRC","97.45","98.70","741","532","SMALL","0","2022-11-11",""
"2022-151ABJ","CZ-6A DEB","56242","PRC","96.90","98.57","664","557","SMALL","0","2022-11-11",""
"2022-151ABH","CZ-6A DEB","56241","PRC","100.07","98.92","850","674","SMALL","0","2022-11-11",""
"2022-151ABG","CZ-6A DEB","56240","PRC","99.79","98.90","845","652","SMALL","0","2022-11-11",""
"2022-151ABF","CZ-6A DEB","56239","PRC","101.39","98.70","880","769","SMALL","0","2022-11-11",""
"2022-151ABE","CZ-6A DEB","56238","PRC","105.38","98.80","1195","830","SMALL","0","2022-11-11",""
